CHRG_DESC,PREM_DESC,ADDRESS,LAT_LONG,DATETIME,DOW,DISTRICT,CASE_NUMBER
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,CONGRESS AVE & HOWARD AVE,"41.3013437, -72.93528359999999",2019-10-07T07:08:00Z,MON,5,19040113
FIREARM DISCHARGE,STREET/HIGHWAY/ALLEYWAY,ASHMUN ST & WEBSTER ST,"41.3175029, -72.92951289999999",2019-10-13T00:14:00Z,SUN,6,19041271
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,80 READ ST,"41.332874, -72.9283088",2019-10-11T18:01:00Z,FRI,7,19041101
BURGLARY,CONSTRUCTION SITE,1080 STATE ST,"41.3171588, -72.9063699",2019-10-09T08:35:00Z,WED,7,19040745
BURGLARY,RESIDENCE/HOME,550 WHITNEY AVE,"41.325714, -72.9165036",2019-10-07T08:28:00Z,MON,7,19040461
BURGLARY,RESIDENCE/HOME,105 LILAC ST,"41.3305737, -72.9300068",2019-10-11T01:47:00Z,FRI,7,19040989
BURGLARY,CONVENIENCE STORE,507 DIXWELL AVE,"41.3268271, -72.9348989",2019-10-11T09:58:00Z,FRI,7,19041020
LARCENY,STREET/HIGHWAY/ALLEYWAY,43 LAWRENCE ST,"41.317435, -72.909899",2019-10-09T08:26:00Z,WED,7,19040741
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,STATE ST & EAST ST,"41.3161565, -72.9088915",2019-10-09T08:22:00Z,WED,7,19040737
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,27 DIVISION ST,"41.3254204, -72.92380469999999",2019-10-09T10:58:00Z,WED,7,19040757
ROBBERY,PARKING LOT/GARAGE,545 SHERMAN PKY,"41.3241786, -72.93694150000002",2019-10-13T18:38:00Z,SUN,7,19041348
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,299 BLATCHLEY AVE,"41.310558, -72.89935799999999",2019-10-10T21:57:00Z,THU,8,19040977
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,220 FERRY ST,"41.3058407, -72.89493879999999",2019-10-10T22:14:00Z,THU,8,19040979
BURGLARY,CONVENIENCE STORE,325 FERRY ST,"41.3084353, -72.8944691",2019-10-08T21:37:00Z,TUE,8,19040715
BURGLARY,SPECIALITY STORE,325 FERRY ST,"41.3084353, -72.8944691",2019-10-08T23:55:00Z,TUE,8,19040723
BURGLARY,RESIDENCE/HOME,349 PECK ST,"41.3156775, -72.90139549999999",2019-10-11T09:50:00Z,FRI,8,19041027
LARCENY,STREET/HIGHWAY/ALLEYWAY,122 ATWATER ST,"41.3138772, -72.8935692",2019-10-08T08:12:00Z,TUE,8,19040584
LARCENY,PARKING LOT/GARAGE,112 FRONT ST,"41.3073114, -72.890489",2019-10-10T08:22:00Z,THU,8,19040875
ROBBERY,STREET/HIGHWAY/ALLEYWAY,133 EXCHANGE ST,"41.3078203, -72.8940811",2019-10-07T01:42:00Z,MON,8,19040449
ROBBERY,STREET/HIGHWAY/ALLEYWAY,549 FERRY ST,"41.3148116, -72.896768",2019-10-12T03:46:00Z,SAT,8,19041144
